SprinklerX,SprinklerY,SprinklerZ,PipeX,PipeY,PipeZ
90647.67,44000,2500,91425.36184633496,45039.84419323879,3093.603483949829
93147.67,41500,2500,92706.10975043457,40882.458598792975,3269.4701547976215
93147.67,44000,2500,92983.91830722948,43830.90352986806,3169.467723806221
93147.67,46500,2500,93325.80175370461,46729.64623022053,3000
95647.67,39000,2500,95473.60578627019,38735.76531146839,3134.7596144147938
95647.67,41500,2500,95751.41543149474,41684.21209248147,3304.1783171694115
95647.67,44000,2500,96097.3936603652,44579.78064604419,3000
98147.67,39000,2500,98518.91255575999,39537.52065509488,3438.8889105326016
98147.67,41500,2500,98868.98556702577,42429.91506186785,3000
